lang_a,lang_b,idx_a,idx_b,similarity,mutual,url_a,url_b
en,es,924,1181,0.5708,True,https://www.thenewhumanitarian.org/analysis/2022/11/09/Colombia-Venezuela-border-ELN-Petro,https://www.elnuevosiglo.com.co/articulos/09-23-2022-reapertura-de-frontera-un-reto-con-pronostico-reservado
en,es,3946,3959,0.5133,True,https://www.thepanamanews.com/2016/03/the-panama-news-blog-links-march-26-2016/,https://www.thepanamanews.com/2018/01/the-panama-news-blog-links-january-5-2018/
en,es,3956,3955,0.5104,True,https://www.thepanamanews.com/2017/10/the-panama-news-blog-links-october-6-2017/,https://www.thepanamanews.com/2017/08/the-panama-news-blog-links-august-30-2017/
en,es,4251,980,0.4999,True,https://www.odpm.gov.tt/node/24,http://www.ideam.gov.co/web/siac/cclimatico
en,es,3942,3932,0.4985,True,https://www.thepanamanews.com/2015/08/varela-and-carrera-punt-on-barro-blanco/,https://www.thepanamanews.com/2016/09/barro-blanco-el-acuerdo-sin-acuerdo/
en,es,3950,3951,0.4873,True,https://www.thepanamanews.com/2016/09/the-panama-news-blog-links-september-27-2016/,https://www.thepanamanews.com/2016/09/the-panama-news-blog-links-september-19-2016/
en,es,1092,1070,0.4498,True,https://thebogotapost.com/duque-petro-poll/30448/,https://razonpublica.com/especial-para-donde-va-duque/
en,es,3948,3951,0.4237,False,https://www.thepanamanews.com/2016/07/the-panama-news-blog-links-july-10-2016/,https://www.thepanamanews.com/2016/09/the-panama-news-blog-links-september-19-2016/
en,es,1090,766,0.4084,True,https://thebogotapost.com/access-cano-cristales-temporarily-suspended/26294/,https://diariodelhuila.com/cierran-zonas-del-parque-tayrona-por-derrumbes-en-las-vias-de-acceso/
es,pt,940,382,0.4056,True,https://www.vanguardia.com/area-metropolitana/bucaramanga/no-contamine-sabe-que-hacer-con-sus-residuos-peligrosos-ACVL451706,https://www.ibahia.com/colunistas/ibahia-sobre-rodas-com-fabio-cota/confira-oito-postos-de-salvador-para-abastecer-seu-carro-eletrico
es,pt,3961,405,0.402,True,https://www.tvn-2.com/contenido-exclusivo/estrella-panama-diario-publicandose_1_1024393.html,https://www.gazetaweb.com/noticias/cultura/aventura-de-alagoanos-que-navegaram-de-maceio-ao-rio-de-janeiro-em-jangada-completa-100-anos/
en,pt,4580,362,0.3986,True,https://orangeleader.com/2016/08/24/bridge-city-businesses-offer-collection-sites-for-louisiana-flood-victims/,https://pleno.news/brasil/cidades/saiba-como-ajudar-as-pessoas-afetadas-pelas-chuvas-na-bahia.html
en,es,723,1107,0.3938,True,https://apnews.com/059cfdddb1824982bb08c6e4955f2f1b/The-Latest:-5.6-million-told-to-evacuate-Florida-due-to-Irma,https://www.cablenoticias.tv/vientos-250kilometros-ian-cerca-a-costa-florida/
en,es,4501,4525,0.372,True,https://abc7chicago.com/post/tornado-louisiana-winter-storm-today-snow/12568900/,https://laopinion.com/2020/08/29/al-menos-15-muertos-dejo-el-huracan-laura-a-su-paso-por-estados-unidos/
en,es,4880,890,0.3696,True,https://grist.org/health/one-year-in-the-toxic-legacy-of-war-in-ukraine-comes-into-view/,https://www.elespectador.com/ambiente/la-transicion-energetica-que-no-podra-ignorar-el-proximo-gobierno/
en,es,4786,3902,0.3609,True,https://whyy.org/articles/afghanistan-earthquake-survivors-paktika-taliban/,https://www.telemetro.com/internacionales/2014/05/03/complicada-ayuda-alud-mortifero-afganistan/1752038.html
en,es,4828,789,0.3601,True,https://abc7news.com/post/tanzania-plane-crash-lake-victoria-people-killed-on/12423798/,https://canal1.com.co/entretenimiento/estilo-de-vida/salvaron-accidente-de-avion-mexico/
en,es,3947,3959,0.3499,False,https://www.thepanamanews.com/2016/05/the-panama-news-blog-links-may-11-2016/,https://www.thepanamanews.com/2018/01/the-panama-news-blog-links-january-5-2018/
en,es,860,686,0.3495,True,https://thebogotapost.com/dont-leave-good-habits-home/14800/,https://www.eje21.com.co/2010/01/el-pas-sin-agua-por-el-nio/
en,es,4845,1017,0.3484,True,https://americanpress.com/2021/07/06/as-tokyo-olympics-approach-virus-worries-rise-in-japan/,https://colombiacheck.com/chequeos/ni-japon-redujo-casos-de-covid-19-por-legalizar-la-ivermectina-ni-estos-aumentaron-por-las
en,es,1088,1111,0.3418,True,https://thebogotapost.com/1500-people-displaced-tumaco/24461/,https://www.contagioradio.com/desplazan-600-indigenas-y-campesinos-en-tierraalta-onu/
en,es,4580,1122,0.3305,True,https://orangeleader.com/2016/08/24/bridge-city-businesses-offer-collection-sites-for-louisiana-flood-victims/,https://www.cruzrojacolombiana.org/ungrd-y-cruz-roja-colombiana-recibiran-donaciones-en-especie-de-empresas-y-gremios-para-damnificados-en-san-andres-providencia-y-santa-catalina/
en,es,4210,780,0.3302,True,https://newsday.co.tt/2018/07/25/conserving-our-mangroves/,https://www.semana.com/actualidad/articulo/expertos-de-wwf-hablan-sobre-la-conservacion-de-los-manglares/53336/
en,es,4444,4570,0.3285,True,https://abc7.com/post/hurricane-delta-track-2020-update/6860804/,https://laopinion.com/2020/08/26/huracan-laura-la-tormenta-alcanza-la-categoria-4-y-amenaza-ee-uu-con-marejada-catastrofica-vientos-extremos-e-inundaciones/
en,es,4198,1272,0.3226,True,https://www.guardian.co.tt/news/parents-knock-ministrys-lastminute-school-closure-6.2.1554798.10a632cbca,https://www.portafolio.co/economia/inicia-el-regreso-a-clases-presenciales-bajo-el-modelo-de-alternancia-en-colombia-548907
en,es,4813,1221,0.3219,True,http://www.miaminewtimes.com/best-of-miami/2007/bars-and-clubs/best-latin-rock-band-6401164,https://www.las2orillas.co/alfredito-linares-y-su-mambo-rock-nunca-pague-payola-para-sonar-en-la-radio/
en,es,4559,1273,0.3157,True,https://grist.org/accountability/there-are-massive-chemical-dumps-in-the-gulf-we-know-almost-nothing-about/,https://www.portafolio.co/economia/ofreceran-45-bloques-de-exploracion-offshore-500457
